"acc_rep_num ","company_code","DIST_CODE","report_date","ip_number","accident_dt_time","shift_code","plce_of_acc","road_name1","acc_type","nature_of_acc","wthr_code","road_sur_code","op_hrs_code","type_loc_code","traf_vol_code","traf_flow_code","traf_cntrl_code","col_with_code","type_of_col_code","srs_inj","minor_inj","fatal","bus_towed","sketch","photo_taken","mech_fault","pol_report","pol_rep_num","dutyio_code","release_status","damage_to_bus","Facts_txt","brief_part","rsn_for_late_rep","create_by","create_dt","modify_by","modify_dt","mig_flag","off_on_svc"
"E03722015","02","SE","20/01/2015","201500353","19/01/2015 15:25","2","CHANGI VILLAGE ROAD","CHANGI VILLAGE ROAD","3","1","1","1","1","33","3","2","5","85","58","0","0","0","N","Y","Y","N","N","","23","R","FRONT WINDSCREEN CRACKED","As I was driving along Changi Village Road I noticed the front left side windscreen cracked. I was not involved in any accident. No injury. That s all.","","","edsfof02","20/01/2015 10:13","","20/01/2015 10:13","","N"
"E03702015","02","SE","20/01/2015","201500354","19/01/2015 12:20","3","GEYLANG ROAD BUS STOP 80089","GEYLANG ROAD","2","1","1","1","2","42","3","1","5","73","68","0","0","0","N","Y","N","N","Y","T/2015","23","R","NO DMG","I was driving along 2nd left lane of the 4 lanes in Geylang road. After that I switched to the exreme left lane then came to a halt at bus stop (80089). I saw a pedestrian on the left lane walking. After I stopped at the bus stop the pedestrian.approached me and claimed that I had hit him. I wish to state that my bus did not hit him and I did not feel any impact. Also I did not exchange particulars with the pedestrian. Ambulance activated but pedestrian was not convey to hospital.That s all.","","","edsfof02","20/01/2015 09:55","","20/01/2015 09:55","","N"
"E03392015","02","SE","19/01/2015","201500355","19/01/2015 08:42","3","Bef Left turn from Ang Mo Kio Ave 3","Ang Mo Kio Ave 3","3","1","1","1","6","27","2","1","1","70","54","0","0","0","N","Y","Y","N","N","","23","R","SBS6449B, Left v/mirror dangling","During incident period I intend to make a left turn from Ang Mo Kio Ave 3 into Ang Mo Kio Ave 8 when my bus sideswipe with the front bus (SBS6313J 86). The said bus sustained damaged on rear w/screen. No one was injured.We then returned our bus to interchange. Photo taken by ARM. Thats all.","","","amoppr10","19/01/2015 12:16","amoppr10","19/01/2015 14:58","","N"
"E03562015","02","SE","19/01/2015","201500355","19/01/2015 08:45","1","AMK AVE 3 & 8 JUNCTON","AMK AVE 3","3","1","1","1","7","27","2","2","1","70","60","0","0","0","N","Y","Y","N","N","","23","R","REAR WINDSCREEN DMG","After turning left from AMK ave 3 into AMK Ave 8 my bus stopped at the pedestrian crossing. Suddenly heard a loud sound. Upon checking found that another bus (SBS6449B SVC 269) hit my rear. No injury. That s all.","","","edsfof02","19/01/2015 15:44","","19/01/2015 15:44","","N"
"W03842015","02","SW","20/01/2015","201500357","19/01/2015 10:50","3","SKI near altar","sengkang interchange","3","1","1","1","8","37","2","1","5","85","73","0","0","0","N","Y","Y","N","N","","23","R","sbs8249Z - corner panel damaged, SKRG, cctv","I was searching for p/lot when I saw a crane vehicle located at the corner of the Chinese altar area. I moved to the corner of asid area when my bus grazed the warning light of said crane. The location was too narrow for me to move. no inj.","","","wdssof01","20/01/2015 13:43","","20/01/2015 13:43","","N"
"E03772015","02","SE","20/01/2015","201500358","19/01/2015 14:30","2","PASIR RIS INT.","PASIR RIS INT.","3","1","1","1","1","37","4","1","5","91","73","0","0","0","N","Y","Y","N","N","","23","R","FRONT LEFT PANEL DMG","As I was moving out of the parking lot in Pasir Ris Int. my bus side swipe with the concrete barrier. No injury. That s all.","","","edsfof02","20/01/2015 10:58","","20/01/2015 10:58","","N"
"W03932015","02","SW","20/01/2015","201500359","19/01/2015 16:10","3","SLBP 3rd floor","soon lee bus park","3","1","1","1","5","39","3","1","5","91","70","0","0","0","N","Y","Y","N","N","","23","R","sbs6699X - rear R.bumper cracked, BLRG, cctv","Over at BNVT I checked bus and saw damge. I then remembered that earlier when I reversed out from parking lot at SLBP my bus may had hit the pillar at SLBP 3rd floor. That is all","","","wdssof01","20/01/2015 16:31","","20/01/2015 16:31","","N"
"W03872015","02","SW","20/01/2015","201500364","18/01/2015 21:10","2","C'wealth ave west T dover Rise","C'wealth ave west T dover Rise","2","2","1","1","15","26","2","3","1","86","78","0","0","0","N","Y","Y","N","Y","f/2015","14","R","sbs2757M - HCRG, cctv","I was on the extreme left lane of said location. Aft said junctn suddenly I heard a loud sound. As not to obstruct traffic and as my bus was approaching bstop 25.2km I proceed on and stopped at the bstop. Onboard pax informed me that a M/Chineseabt 60Y had fallen and was bleeding. I checked and discovered that said pax right side of the head was bleeding. I called OCC and requested for AMB. Onboard pax helped to apply first aid bef AMB arrived. He was conveyed to NUH. That is all","","","wdssof01","20/01/2015 14:28","","20/01/2015 14:28","","N"
"E03812015","02","SE","20/01/2015","201500365","19/01/2015 06:10","3","AMK BUS PARK PARKING LOT","AMK BUS PARK","3","1","1","1","1","39","4","1","5","85","58","0","0","0","N","Y","Y","N","N","","14","R","FRONT WINDSCREEN CRACKED","I collected my bus to start work. During 1st parade check found the front windscreen cracked. I was not the previous BC that drove this bus. No injury. That s all.","","","edsfof02","20/01/2015 12:05","","20/01/2015 12:05","","N"
"W04252015","02","SW","22/01/2015","201500368","05/01/2015 10:00","3","East Coast Rd x Tlk Kurau Rd","East Coast Rd","1","1","1","1","8","27","3","2","1","76","73","0","0","0","N","Y","N","N","N","","21","R","SBS7710P - Left rear top CCTV Camera Cover damaged ( CLRG )","On 050115 aft b/stop 10.3 KM along East Coast Rd there was a brokedown m/car at the middle junct on seeing I then kept to left  overtook said car as a result the left rear top ( CCTV camera cover ) grazed against the traffic light. At thatR/master informed me that my bus as they have view the CCTV.","","I was'nt awared my bus grazed t/light at T/junct","jradaa01","22/01/2015 12:24","","22/01/2015 12:24","","N"
"E00912015","02","SE","06/01/2015","201500369","06/01/2015 06:42","1","BISHAN INT.","BISHAN INT.","3","1","1","1","3","37","4","1","5","70","67","0","0","0","N","Y","Y","N","N","","21","R","REAR LEFT SIDE BUMPER DMG","While reversing in Bishan Int.  I accidentally hit another stationary bus (SBS8482RSVC 410W) in the parking lot. No injury. That s all.","","","edsfof02","06/01/2015 16:24","","06/01/2015 16:24","","N"
"E03892015","02","SE","20/01/2015","201500369","06/01/2015 06:42","1","BISHAN INT.","BISHAN INT.","3","1","1","1","1","37","4","1","5","70","60","0","0","0","N","Y","N","N","N","","21","R","NO DMG","My RM informed me that my unattended bus in the parking lot was hit by another bus (SBS8379G) in Bishan Int.  The latter was reversing at that time. No injury. That s all.","","I was informed on 20/01/2015 to make TAC report","edsfof02","20/01/2015 15:21","","20/01/2015 15:21","","N"
"W03552015","02","SW","19/01/2015","201500370","09/01/2015 13:40","1","Bedok North St 1- opp Bedok Ctrl Post Of","bedok north st 1","2","1","1","1","12","33","2","2","5","86","78","0","0","0","N","Y","Y","N","Y","d/2015","21","R","sbs9444U - CLRG, no cctv","I was proceeding to 1st bstop aft Bedok Int. Aft abt 02 t/light the sound of fire hammer released sound off. I looked up a few times. When Ilooked down again I saw t/light red so I stepped on brakes abit hard. I heard sound from rear. I looked backWhen I looked down again I saw t/light red so I stepped on brakes abit hard. I heard sound from rear. I looked back and saw other pax assisting a F/Chinese pax that had fell. I proceed to the bstop. Once at the bstop I wanted to approach said paxbut she had already alighted. I cont svc. I was only told of CFMS on the 13/01.","","Bc informed of CMFS on 13/01. Bc had no time as he need to lodge PR","wdssof01","19/01/2015 15:43","","19/01/2015 15:43","","N"
"E03442015","02","SE","19/01/2015","201500371","10/01/2015 07:15","1","Parking lot","Bedok North Buspark","3","1","1","1","8","39","2","1","5","70","67","0","0","0","N","Y","Y","N","N","","21","R","SBS6084U, Minor damaged on rear portion","During incident period I intend to perform my 1st parade check and reversing my bus a bit out from the lot as it was too near to the front bus. In the midst of reversing I felt a jerk discovered that my bus had collided onto an unattended bus(SBS 8357U) resulted the said bus sustained damaged on front w/screen. My bus sustained minor damaged on rear portion. I did report this matter to workshop & RG. Thats all.","","I was on split shift last whole week.","amoppr10","19/01/2015 14:05","","19/01/2015 14:05","","N"
"E04232015","02","SE","22/01/2015","201500372","13/01/2015 09:30","1","SERANGOON ROAD","SERANGOON ROAD","1","1","1","1","9","33","1","1","5","70","52","0","0","0","N","Y","Y","N","N","","21","R","FRONT WINDSCREEN CRACKED","There was a lorry (YL6699K) queueing behind other vehicles at the traffic junction along serangoon road. As I approached this lorry could not see the metal pipes that the lorry was carrying. As a result my bus windscreen hit the pipes. No injury.That s all.","","WOKRED AM SHIFTS. FINISHED WORK AFTER 1600 HRS","edsfof02","22/01/2015 11:47","","22/01/2015 11:47","","N"
"W02672015","02","SW","14/01/2015","201500373","14/01/2015 06:40","1","HBF int","harbourfront interchange","3","1","1","1","1","37","3","1","5","91","70","0","0","0","N","Y","Y","N","N","","21","R","sbs6462L - rear R/tail light, body panel damaged, BMRG,cctv","Aft pax alighting I wanted to reverse out when accidentally hit the metail railing. that is all","","","wdssof01","14/01/2015 13:46","","14/01/2015 13:46","","N"
"W02782015","02","SW","14/01/2015","201500374","14/01/2015 06:10","3","Boon Lay Inter Driveway","BLI","1","1","1","1","2","37","1","1","5","70","54","0","0","0","N","N","N","N","N","","21","R","SBS9513D - Left front v/m no damaged ( BLRG )","I was driving my bus coming out from BLI parking lot heading twds boarding berth. I then turned right into extremely right driveway & then I saw a SMRT bus came from behind wanted to turn right on seeing I stopped my bus & gave way to said SMRT bus.was going to hit my bus I horned but failed to stop as SMRT bus had its right ctr window grazed against the left front v/m of my bus & dragged my v/m infront. I alighted to check. Informed ARM & Naren took photo at scene & advised me to cont mysvc as my bus had no damaged.","","","jradaa01","14/01/2015 14:59","","14/01/2015 14:59","","N"
"E04242015","02","SE","22/01/2015","201500376","14/01/2015 07:04","3","NORFOLK  ROAD BUS STOP 50071","NORFOLK ROAD","2","1","1","1","5","42","4","2","5","86","82","0","0","0","N","Y","N","N","Y","F/2015","21","R","NO DMG","On 21/01/2015 I was informed of a complaint against me regarding an incident on 14/01/2015 at about 0704 hrs. The complainant claimed that I closed the door before he/she  boarded the bus and the leg was stuck between the door at one point.I wish to state the no one informed me on that day of any incident or injury. That s all.","","I WAS INFORMED ON 21/01/2015 OF THE COMPLAINT.","edsfof02","22/01/2015 12:04","edsfof02","22/01/2015 12:05","","N"
"W03572015","02","SW","19/01/2015","201500379","17/01/2015 11:00","1","Dunman Rd x Joo Chiat Rd","Dunman","1","1","1","1","9","33","3","2","5","70","53","0","0","0","N","Y","N","N","Y","T/2107","21","R","SBS6156X - Right front v/m bent inwarded no damaged, Front right bumper cracked ( BMRG )","I was stopping my bus behind few m/vehs at the 1st right outer lane Dunman Rd junct Joo Chiat Rd awaiting for right turn arrow to appear when suddenly I heard sound came from my right front then I saw my bus right front v/m bent inwarded twds sidewindow I could not see any opp dir m/veh until I shift back my v/m then from my right front v/m then I saw a silver van had stopped quite far away from my bus & the rear blinking light was on on seeing I decided to check & I looked again at myfront v/m then I saw said van had sped off. And due to many oncoming m/vehs behind I did not alighted to check. Until when I reached BDI then I saw front right corner had cracked. WOCC informed.","","","jradaa01","19/01/2015 15:56","jradaa01","20/01/2015 06:47","","N"
"W03422015","02","SW","19/01/2015","201500383","17/01/2015 23:30","2","jurong west st 71","jurong west st 71","1","1","1","1","18","33","3","3","5","70","54","0","0","0","N","Y","Y","N","N","","21","R","sbs6072D - OS front cover scratches, BLRG","Aft apx act at bstop I proceed on as normal when suddenly a car SGA2590L on my right swerved into my lane thus sideswiped my front RHS. Both vehicles stopped. I alighted to check damage. Particulars exchanged. As earlier was my last bstop I contsvc as normal.","","","wdssof01","19/01/2015 13:51","","19/01/2015 13:51","","N"
"E04382015","02","SE","22/01/2015","201500389","14/01/2015 19:45","2","JALAN KAYU","JALAN KAYU","2","1","1","1","9","33","2","2","5","86","78","0","0","0","N","Y","N","N","Y","G/2015","14","R","NO DMG","I was driving along Jalan Kayu when a car (number unknown) in front suddenly jammed brakes. To avoid collision I also applied brakes. A few moments later a female passenger approached me and informed that she knocked her head against the pole. Shewas not bleeding. Upon reaching Yishun int. the lady enquired about the matter again and I advised her to seek medical treatment. The lady was awared that the front car jammed brake and it was not my fault. The lady was standing inside the bus whenit happened. She was a malay in her late 40s wearing an IKEA uniform. That s all.","","ON LEAVE 3 DAYS","edsfof02","22/01/2015 17:36","edsfof02","23/01/2015 08:37","","N"
"E04262015","02","SE","22/01/2015","201500390","18/01/2015 19:00","2","BEDOK SOUTH ROAD AFTER ECP","BEDOK SOUTH ROAD","1","1","1","1","8","33","3","2","5","70","57","0","0","0","N","Y","N","N","N","","14","R","NO DMG","There was a pte bus (PC1261B) queueing at the traffic junction along Bedok South road. My bus stopped behind this pte bus. The pte bus driver did not pull hand brake. He was writing something. As a result  his bus rolled backward  and lightlytouched the my bus left view mirror. The driver expressed interest in pte settlement.  No injury. That s all.","","I worked PM shifts","edsfof02","22/01/2015 13:46","","22/01/2015 13:46","","N"
"W04332015","02","SW","22/01/2015","201500393","22/01/2015 12:16","1","Sims Ave x Sims Way","Sims Ave","1","1","1","1","15","27","3","1","1","70","60","0","0","0","N","Y","N","N","N","","14","R","SBS2825A - Rear right bumper, corner bumper & body damaged ( CLRG )","I was driving my bus at the 2nd right outer lane Sims Ave turning right dir to Sims Way. At the junct I then stopped my bus at the ped light & gave way to ped crossing few second when I heard sound bang came from the rear of my bus. I alighted tocheck & saw a black m/car SFA7333S had its front right portion collided into the rear right portion of my bus. WOCC informed exchange particulars & cont my svc twds BDI.","","","jradaa01","22/01/2015 16:00","jradaa01","22/01/2015 16:10","","N"
"W03952015","02","SW","20/01/2015","201500395","19/01/2015 20:00","3","Soon Lee Bus Park Level 4","At Svc 254 Parking lot","3","1","1","1","9","39","4","1","5","70","67","0","0","0","N","Y","N","N","N","","23","R","SBS9467D - Rear Left no damaged ( BLRG )","On 190115 I arr at SLBP. Aft refueling & washing of my bus bus at level 1 I moved off heading twds level 4. At the driveway I was doing the 3 pt turn reversing to park at parking lot in doing so the rear left portion of my bus collided ontobehind bus SBS9403M parked unattended at the parking lot. I alighted to check. Bus SBS9403M left front v/m assy drop off. SL W/shop.","","","jradaa01","20/01/2015 16:46","","20/01/2015 16:46","","N"
"E04362015","02","SE","22/01/2015","201500396","19/01/2015 17:55","2","LOR. 1 TOA PAYOH BUS STOP NEAR TO PHILLI","LOR. 1 TOA PAYOH","2","1","1","1","9","42","4","2","5","86","78","0","0","0","N","Y","Y","N","Y","F/2015","23","R","NO DMG","I was informed of a complaint against me on 20/01/2015 regarding an incident that  after I started to drive out of the bus stop near Phillips Singapore along Lor. 1 Toa Payoh the traffic light ahead turned amber and I stepped on the brakes. At thattime I did not hear anyone fell down or injured and no one approached me also. I wish to state that I was not aware of any injuries that happened while I was driving. That s all.","","I was informed on 20/01/2015 about the CFMS","edsfof02","22/01/2015 16:54","","22/01/2015 16:54","","N"
"W03522015","02","SW","19/01/2015","201500397","16/01/2015 06:23","1","b24229 gul circle","gul circle","2","1","1","1","3","42","3","2","5","86","82","0","0","0","N","Y","Y","N","Y","j/2015","23","R","sbs9623U - BLRG, no cctv","I was attending to pax act at B24229. Due to little lighting while closing the front door I did not notice a F/chinese wanting to board the bus at the last min resulting the door to hit her R/arm. As she could not speak in English I got a pax totranslate. She did not want AMB and she wanted to head to BLI. At BLI I informed ARM. ARM brought said F/pax to the office and I was told to cont svc. I was later informed that said F/pax was conveyed by AMB. That is all","","","wdssof01","19/01/2015 15:06","","19/01/2015 15:06","","N"
"W03382015","02","SW","19/01/2015","201500398","15/01/2015 17:54","3","AYE x JR Town Hall Rd","AYE","1","1","1","1","6","27","1","1","1","91","73","0","0","0","N","Y","N","N","N","","23","R","SBS7323Z - Left front v/m assy drop, bracket cracked ( BLRG )","I had stopped my bus behind m/vehs at the 1st left inner lane of AYE comply to traffic red junct with JR Town Hall Rd. When I saw green light appeared I then followed infront m/veh moved off & due to I had forgottened to check on my leftsideas a result when I was moving off the left front v/m of my bus grazed against the fencing beside the road kerb. I alighted to pick-up v/m & not to obstruct traffic coming from behind. I stopped at b/stop along Town hall Rd. WOCC informed to waitfor CRS transfer pax. Aft CRS attended to my bus I was told to RTD to SLBP.","","Friday 160115, I need to attend my personal thing.","jradaa01","19/01/2015 12:01","","19/01/2015 12:01","","N"
"W04172015","02","SW","22/01/2015","201500399","12/01/2015 07:00","3","bstop rivervale Dr","rivervale dr","2","1","1","1","3","33","2","1","1","86","82","0","0","0","N","Y","Y","N","Y","f/2015","23","R","sbs6445L - SKRG, cctv","I was clsoind the door aft ensuring all pax had boarded when suddenly a pax came from behind looking at his phone tried to board the bus from the front door. I did not see him and I had already pressed the close/open button for the front door.this caused the door to hit said pax. upon seeing this I reopen the front door and apologised. Said pax was unhappy and commented. Later another 02 pax boarded.","","bc reported to Rg on 21/01","wdssof01","22/01/2015 10:41","","22/01/2015 10:41","","N"
"W04122015","02","SW","22/01/2015","201500403","07/01/2015 21:55","2","Changi airport T3","changi airport","1","1","1","1","14","33","2","1","5","70","51","0","0","0","N","Y","Y","N","N","","23","R","sbs6342A - rear right panel scratches, SKRG, cctv","I was entering Changi Airport T3 when suddenly a taxi came out from the side pillar and grazed my bus rear right causing scratches. No inj. Particualrs exchanged. I informed OCC. I wish to inform that I was travelling straight and said taxi came outform side of road grazing side of my bus.","","bc reported to Rg on 12/01. district rcvd report on 21/01","wdssof01","22/01/2015 09:23","","22/01/2015 09:23","","N"
"E04222015","02","SE","22/01/2015","201500404","15/01/2015 11:00","1","Left turn from Pasir Ris Dr 1","Pasir Ris Dr 1","2","1","1","1","9","27","2","3","1","86","74","0","0","0","N","Y","N","N","Y","NP299","23","R","SBS8660T, No damaged","RM informed me that they received a complaint against me by a little female paxs father on 15/01/2015. I was informed by my RM that earlier today at 1100hrs While I was about to make a turn from Pasir Ris Dr 1/ 4. The father of the little paxclaimed that her head has hit onto the front seat handle. I wish to state that after I make the left turn from the said junc I heard a little girls cries. As such I stopped my bus to make a check on her in view of her father. There was novisible injury show on her. And later I resumed back to my driving. Thats all.","","Was on duty","amoppr10","22/01/2015 11:44","amoppr10","23/01/2015 11:12","","N"
"E02152015","02","SE","12/01/2015","201500414","11/01/2015 15:30","3","AMK BUS PARK PARKING LOT","AMK BUS PARK","3","1","1","1","13","39","4","1","5","70","58","0","0","0","N","Y","Y","N","N","","23","R","FRONT DOOR SIDE GLASS SHATTERED","I parked my bus in AMK parking lot at 1230 hrs for split shit break. At 1530 hrs when I collected my bus found that the front door side glass shattered. Informed AS to take photo. No injury. That s all.","","","edsfof02","12/01/2015 13:52","","12/01/2015 13:52","","N"
"E03112015","02","SE","16/01/2015","201500418","04/01/2015 01:15","2","CHANGI BUS PARK","CHANGI BUS PARK","3","1","1","1","23","39","4","1","5","70","52","0","0","0","N","Y","Y","N","N","","23","R","FRONT WINDSCREEN DMG","While stationary at the parking lot in Changi Bus park my bus door was opened. The bus rolled forward and hit the rear of another unattended bus (SBS9523A SVC : unknown). At that time I did not pulled hand brake and did not stepped on the legbrake. No injury. That s all.","","ON LEAVE,SPLIT SHIFT & MC 3 DAYS","edsfof02","16/01/2015 11:31","edsfof02","16/01/2015 11:36","","N"
"W03882015","02","SW","20/01/2015","201500420","11/01/2015 22:50","2","Bt Timah Rd b/stop 40081","Bt Timah Rd","1","1","1","1","14","42","3","1","1","70","54","0","0","0","N","Y","N","N","N","","23","R","SBS6700A - Right rear panel slight scratched, side indicator light damaged ( JERG )","I had stopped my bus at kerbside b/stop along Bt Timah Rd for paxs activities. When paxs activities still on when suddenly I felted jerking came from the rear of my bus. I checked my right front v/m & saw a SMRT taxi came from the rear of my bushad overtook to his right & left rear portion had grazed against the rear right portion of my bus. I alighted to check exchange particulars. I cont my svc.","","I cannot file TAC as I was working","jradaa01","20/01/2015 15:05","","20/01/2015 15:05","","N"
"W03032015","02","SW","15/01/2015","201500422","12/01/2015 05:40","1","HGD p/lot","HG depot","3","1","1","1","1","36","2","1","5","70","67","0","0","0","N","Y","Y","N","N","","23","R","sbs5196L- rear LHS signal light assy, SKRG     sbs3105M,svc43,front LHS corner panel damaged","I was moving out from p/lot. It was quite dark at that time. I assumed I could reversed all the way like usual. I reversed and hit SBS3105M due to said bus front not parked according to the p/lot lines. No injuries.","","","wdssof01","15/01/2015 15:39","","15/01/2015 15:39","","N"
"W03712015","02","SW","20/01/2015","201500422","12/01/2015 06:05","1","HGD parking lot","hougang depot","3","1","1","1","1","39","2","1","5","70","67","0","0","0","N","Y","Y","N","N","","23","R","sbs3105m - front Left corner bumper dmgd, SKRG,cctv        sbs5196L- rear signal lights assy damaged,svc43","I was doing my 1st parade check when I found damage on my bus. I informed DO and WS. Mechanic then informed me that earlier another bus had collided w/ my bus when my bus was stationary unattended.","","bc reported to Rg on 19/01","wdssof01","20/01/2015 10:05","","20/01/2015 10:05","","N"
"E04462015","02","SE","23/01/2015","201500424","15/01/2015 20:00","3","AMK DEPOT WORKSHOP","AMK DEPOT","3","1","1","1","12","36","4","1","5","85","58","0","0","0","N","Y","Y","N","N","","23","R","RIGHT SIDE WINDOW GLASS BROKEN","On 15/01/2015 at 1030 hrs  I drove the bus back to AMK Depot after my work trip. After I had parked the said bus I inspected the bus. I did not notice the window scattered glass. On 20/01/2015 my RM informed me about the damage on the bus. On23/01/2015 I was informed to make TAC report. That s all.","","I was informed to make TAC report on 23/01/2015","edsfof02","23/01/2015 11:53","edsfof02","23/01/2015 11:56","","N"
"E04512015","02","SE","23/01/2015","201500427","23/01/2015 11:15","3","before b/s 52069","Braddell Rd","1","1","1","1","10","20","2","3","6","70","52","0","0","0","N","Y","Y","N","N","","23","R","SBS3228S, Front bumper damaged","I was driving off bus svc 157 along the said rd. While concerntrete to make a left turn along Braddell Rd when my bus involve head to rear accident with City Cab at above mentioned location while off-service to BRP. No one was injured.My bus sustained damaged on front portion and the taxi sustained damaged on rear portion. I was instructed by CRS to drive into BRP and awaited for CRS to attend my bus after exchanged particulars with taxis driver. Bus RTD. Thats alll","","","amoppr10","23/01/2015 14:05","","23/01/2015 14:05","","N"
"W04142015","02","SW","22/01/2015","201500428","20/01/2015 15:20","2","clementi rd T kent ridge crescent","clementi rd T kent ridge cresc","1","2","1","1","5","25","2","3","1","70","51","0","0","0","N","Y","Y","N","N","","26","R","sbs2647Y - Ns front corner bumper dented, ent door glass broken, nearside front to center panel scratched, HCRG","I was on the extreme right lane of Clt rd twds Kent ridge Cres. Reaching said junctn the t/light filter arrow had appeared and I proceeded to make a right turn when suddenly a car SGE6805X dashed out from the opp direction into my path beating thered t/light. I cld not avoid. Resulting to said car front NS hit onto the NS front of my bus. I called OCC. The said car driver claimed his wife (passenger) was not well and requested AMB. No visible inj on said car passenger. She was conveyed to NUH","","","wdssof01","22/01/2015 09:45","","22/01/2015 09:45","","N"
"W04452015","02","SW","23/01/2015","201500429","20/01/2015 01:25","2","BBBP Bus Washing Bay","BBBP","3","1","1","2","21","46","4","1","5","91","73","0","0","0","N","Y","N","N","N","","23","R","SBS8191E - Left front v/m drop ( CLRG )","On 200115 I arr at BBBP. I was driving my bus heading twds Bus washing bay. Along the driveway I was turning right into bus washing bay when I wanted to straighten my bus to enter into washing bay the left front v/m of my bus then hit againstagainst the leftside of washing brush. I straightened my bus & cont bus washing. Aft that I then reported to BB w/shop.","","","jradaa01","23/01/2015 11:34","","23/01/2015 11:34","","N"
"E04292015","02","SE","22/01/2015","201500451","17/01/2015 23:12","2","Opps Yuying Sec Sch b/stop","Hougang Ave 1","2","1","1","1","17","42","2","3","1","86","82","0","0","0","N","Y","N","N","Y","NP299","21","R","SBS8538P, No damaged","On 20/01/2015 My Rm informed me that they had received a complain with myself as the involved driver happened on the 17/01/2015 @ abt 2312hrs along Hougang Ave 1. I do not have any recollection of what happened on that day as situation was normallike any other day. While I was traveling along Hougang everything was normal as well. Non of my pax had come forward to inform me about anything. I am lodging this report for record purpose. Thats all.","","I do not have any recollection of what happened on that day as situation was normal like other day.","amoppr10","22/01/2015 14:39","","22/01/2015 14:39","","N"
"E05092015","02","SE","27/01/2015","201500466","10/01/2015 17:51","2","GEYLANG ROAD","GEYLANG ROAD","3","1","1","1","7","33","3","1","5","85","58","0","0","0","N","Y","Y","N","N","","14","R","LEFT VIEW MIRROR DROPPED","I was driving along Geylang Road. I happened to view the left mirror when it dropped by itself. I was not involved in any accident on that day. The cause of the mirror dropped was unknown. No injury. That s all.","","I was informed by RM to make TAC report on 24/01/2015","edsfof02","27/01/2015 14:03","","27/01/2015 14:03","","N"
"W04952015","02","SW","27/01/2015","201500471","18/01/2015 11:00","3","jln besar, aft bstop 12.7km","jalan besar","2","1","1","1","11","33","2","1","5","86","78","0","0","0","N","Y","Y","N","N","","14","R","sbs3045C- HCRG, cctv","Aft pax act at said bstop I checked pax had tapped and walked in. I proceed on when suddenly I heard sound. I stopped and checked. A F/Chinese abt 60Y had fallen. she claimed she did not hold onto h/railing. She claimed she was not injured.I did not apply ebrake nor stepped on brake. I cont svc. No inj that is all","","CFMS case. bc reported to Rg on 23/01","wdssof01","27/01/2015 10:41","","27/01/2015 10:41","","N"
"W04482015","02","SW","23/01/2015","201500476","22/01/2015 20:19","2","Tiong Bahru Rd X Outram Road","Tiong Bahru Rd","1","1","1","1","11","27","3","1","1","70","54","0","0","0","N","Y","Y","N","Y","T/2003","14","R","SBS8444B - Right rear mudguard dented ( CLRG )","I was driving my bus along Tiong Bahru Rd dir to Outram Rd. Along Tiong Bahru Rd I was at the 1st left lane heading to infront uncontrolled X-junct of Outram Rd. At said junct at 1st right outer lane was blocked & a m/car SGY8345M had swerved toleft & then stopped slanting I then stopped too. When I saw said car didn’t moved I then moved off slowly as the road was narrow when I was beside said car I checked again whether I still cont moving off it was ok so I cont moving off at thismoment I heard sound I alighted to check took photo at scene shortly a by-pass police patrol car arr. Nobody was injured. Police asked me to move away I then stopped aft yellow box junct & then stopped at the roadside later ambulance & TP arr.Aft Paramedics had attended to m/car’s pax f/Chinese she was not conve","","","jradaa01","23/01/2015 12:32","jradaa01","23/01/2015 15:44","","N"
"W05242015","02","SW","27/01/2015","201500493","26/01/2015 19:00","2","Jurong West Ave 3 infront JR Police Stn","Jurong West Ave 3","2","1","1","1","12","33","3","3","5","86","58","0","0","0","N","Y","Y","N","Y","J/2096","14","R","SBS3832Y - Interior last seat no damaged ( BLRG )","I was my bus along 1st left lane of JR West Ave 3 heading to infront t/light junct of Jln Bahar. When I was near to JR Police Stn suddenly I heard a boy was crying I looked at the interior v/m & saw a boy at the rear of the bus. I looked behind &the boy’s mother came to me & informed me her son arm had strucked in-bet the seat at the rear of my bus. I advised the boy’s mother not to move him as infront t/light had turned red I then stopped my at said junct. I went to check & saw the boy’sright elbow was stucked in-bet 4 seated which was facing back to back. I together with another pax tried to release his arm but could not WOCC informed. Later SCDF arr & they managedto free his right arm followed by amb arr. Aft the boy’s being attended to by Paramedic he was ok. & did not conveyed to hosp","","","jradaa01","27/01/2015 16:17","jradaa01","27/01/2015 16:25","","N"
"W05032015","02","SW","27/01/2015","201500494","23/12/2014 23:45","2","HCI boarding berth 1","hougang central","3","1","1","1","22","37","4","1","5","70","60","0","0","0","N","Y","Y","N","N","","25","R","sbs9688h - rear panel damaged, HCRG,       sbs3086J,w/0057/2015","aft completion of duty I stopped my bus to conduct last parade check at upp deck. During the heck suddenly I heard the bang sound from the rear. i went to check and realsied my rear was hit by SBS3086J svc74. As a result my rear damaged. that is all","","district rcvd report on 02/01/2015","wdssof01","27/01/2015 12:49","","27/01/2015 12:49","","N"
