"IP_NUMBER","COMPANY_CODE","DIST_CODE","accident_date","ip_type","init_liab","init_cause","init_find_date","inv_status","final_find_date","final_cause","offence_type","pol_rep_fee","shift_code","plce_of_acc","road_name1","acc_type","nature_of_acc","wthr_code","road_sur_code","op_hrs_code","type_loc_code","traf_vol_code","traf_flow_code","traf_cntrl_code","col_with_code","type_of_col_code","srs_inj","minor_inj","fatal","bus_towed","sketch","photo_taken","mech_fault","pol_report","pol_rpt","photo","vir","form15a","pol_rep_num","dutyio_code","damage_to_bus","Facts_txt","brief_part","rsn_for_late_rep","nat_of_acc_chng_dt","src_rep_num","create_by","create_dt","modify_by","modify_dt","mig_flag"
"201500369","02","SE","06/01/2015 06:42","I","FAF","118","22/01/2015","1","10/02/2015","118","1","","1","BISHAN INT.","BISHAN INT.","3","1","1","1","3","37","4","1","5","70","67","0","0","0","N","Y","Y","N","N","N","N","N","","","21","REAR LEFT SIDE BUMPER DMG","While reversing in Bishan Int.  I accidentally hit another stationary bus (SBS8482RSVC 410W) in the parking lot. No injury. That s all.","(M)(Y): Reversing SBS 8379G collided onto unattended SBS 8482R","","","E00912015","sfalio02","22/01/2015 13:34","sfalio02","10/02/2015 11:23",""
"201500370","02","SW","09/01/2015 13:40","I","FAF","121","22/01/2015","1","10/02/2015","121","1","","1","Bedok North St 1- opp Bedok Ctrl Post Of","bedok north st 1","2","2","1","1","12","33","2","2","5","86","61","0","1","0","N","Y","Y","N","Y","N","N","N","","d/2015","21","sbs9444U - CLRG, no cctv","I was proceeding to 1st bstop aft Bedok Int. Aft abt 02 t/light the sound of fire hammer released sound off. I looked up a few times. When Ilooked down again I saw t/light red so I stepped on brakes abit hard. I heard sound from rear. I looked backWhen I looked down again I saw t/light red so I stepped on brakes abit hard. I heard sound from rear. I looked back and saw other pax assisting a F/Chinese pax that had fell. I proceed to the bstop. Once at the bstop I wanted to approach said paxbut she had already alighted. I cont svc. I was only told of CFMS on the 13/01.","(M)(Y): Pax fell on board.","Bc informed of CMFS on 13/01. Bc had no time as he need to lodge PR","22/01/2015","W03552015","sfalio02","22/01/2015 13:37","sfalio02","10/02/2015 11:28",""
"201500371","02","SE","10/01/2015 07:15","M","FAF","118","22/01/2015","1","10/02/2015","118","1","","1","Parking lot","Bedok North Buspark","3","1","1","1","8","39","2","1","5","70","67","0","0","0","N","Y","Y","N","N","N","N","N","","","21","SBS6084U, Minor damaged on rear portion","During incident period I intend to perform my 1st parade check and reversing my bus a bit out from the lot as it was too near to the front bus. In the midst of reversing I felt a jerk discovered that my bus had collided onto an unattended bus(SBS 8357U) resulted the said bus sustained damaged on front w/screen. My bus sustained minor damaged on rear portion. I did report this matter to workshop & RG. Thats all.","(M)(Y): Reversing SBS 6084U collided onto unattended SBS 8357U.","I was on split shift last whole week.","","E03442015","sfalio02","22/01/2015 13:38","sfalio02","10/02/2015 11:21",""
"201500372","02","SE","13/01/2015 09:30","I","FAF","102","22/01/2015","2","10/02/2015","102","1","","1","SERANGOON ROAD","SERANGOON ROAD","1","1","1","1","9","33","1","1","5","70","52","0","0","0","N","Y","Y","N","N","N","N","N","","","21","FRONT WINDSCREEN CRACKED","There was a lorry (YL6699K) queueing behind other vehicles at the traffic junction along serangoon road. As I approached this lorry could not see the metal pipes that the lorry was carrying. As a result my bus windscreen hit the pipes. No injury.That s all.","(M)(Y): Bus hit goods of 3P lorry","WOKRED AM SHIFTS. FINISHED WORK AFTER 1600 HRS","","E04232015","sfalio02","22/01/2015 13:39","sfalio02","10/02/2015 11:32",""
"201500373","02","SW","14/01/2015 06:40","I","FAF","118","22/01/2015","2","10/02/2015","118","1","","1","HBF int","harbourfront interchange","3","1","1","1","1","37","3","1","5","91","70","0","0","0","N","Y","Y","N","N","N","N","N","","","21","sbs6462L - rear R/tail light, body panel damaged, BMRG,cctv","Aft pax alighting I wanted to reverse out when accidentally hit the metail railing. that is all","(M)(Y): Reversing SBS 6462L collided onto metal railing.","","","W02672015","sfalio02","22/01/2015 13:40","sfalio02","10/02/2015 11:22",""
"201500374","02","SW","14/01/2015 06:10","I","NAF","218","22/01/2015","2","03/02/2015","218","1","","3","Boon Lay Inter Driveway","BLI","1","1","1","1","2","37","1","1","5","70","54","0","0","0","N","N","N","N","N","N","N","N","","","21","SBS9513D - Left front v/m no damaged ( BLRG )","I was driving my bus coming out from BLI parking lot heading twds boarding berth. I then turned right into extremely right driveway & then I saw a SMRT bus came from behind wanted to turn right on seeing I stopped my bus & gave way to said SMRT bus.was going to hit my bus I horned but failed to stop as SMRT bus had its right ctr window grazed against the left front v/m of my bus & dragged my v/m infront. I alighted to check. Informed ARM & Naren took photo at scene & advised me to cont mysvc as my bus had no damaged.","(M)(N): SRMT bus sideswipe bus.","","","W02782015","sfalio02","22/01/2015 13:41","sfalad02","13/02/2015 08:25",""
"201500376","02","SE","14/01/2015 07:04","I","NAF","499","22/01/2015","2","10/02/2015","122","1","","3","NORFOLK  ROAD BUS STOP 50071","NORFOLK ROAD","2","2","1","1","5","42","4","2","5","86","65","0","1","0","N","Y","N","N","Y","N","N","N","","F/2015","21","NO DMG","On 21/01/2015 I was informed of a complaint against me regarding an incident on 14/01/2015 at about 0704 hrs. The complainant claimed that I closed the door before he/she  boarded the bus and the leg was stuck between the door at one point.I wish to state the no one informed me on that day of any incident or injury. That s all.","(N)(N): Pax alleged trapped by door.","I WAS INFORMED ON 21/01/2015 OF THE COMPLAINT.","11/02/2015","E04242015","sfalio02","22/01/2015 13:44","sfalad02","11/02/2015 17:14",""
"201500379","02","SW","17/01/2015 11:00","I","NAF","218","22/01/2015","2","10/02/2015","118","1","","1","Dunman Rd x Joo Chiat Rd","Dunman","1","1","1","1","9","33","3","2","5","70","53","0","0","0","N","Y","N","N","Y","N","N","N","","T/2107","21","SBS6156X - Right front v/m bent inwarded no damaged, Front right bumper cracked ( BMRG )","I was stopping my bus behind few m/vehs at the 1st right outer lane Dunman Rd junct Joo Chiat Rd awaiting for right turn arrow to appear when suddenly I heard sound came from my right front then I saw my bus right front v/m bent inwarded twds sidewindow I could not see any opp dir m/veh until I shift back my v/m then from my right front v/m then I saw a silver van had stopped quite far away from my bus & the rear blinking light was on on seeing I decided to check & I looked again at myfront v/m then I saw said van had sped off. And due to many oncoming m/vehs behind I did not alighted to check. Until when I reached BDI then I saw front right corner had cracked. WOCC informed.","(M)(N): 3P lorry from opposite direction sideswipe bus.","","","W03572015","sfalio02","22/01/2015 13:47","sfalio02","10/02/2015 11:31",""
"201500383","02","SW","17/01/2015 23:30","C","NAF","218","22/01/2015","2","10/02/2015","218","1","","2","jurong west st 71","jurong west st 71","1","1","1","1","18","33","3","3","5","70","54","0","0","0","N","Y","Y","N","N","N","N","N","","","21","sbs6072D - OS front cover scratches, BLRG","Aft apx act at bstop I proceed on as normal when suddenly a car SGA2590L on my right swerved into my lane thus sideswiped my front RHS. Both vehicles stopped. I alighted to check damage. Particulars exchanged. As earlier was my last bstop I contsvc as normal.","(M)(N): 3P car sideswipe bus.","","","W03422015","sfalio02","22/01/2015 13:53","sfalio02","10/02/2015 11:55",""
"201500389","02","SE","14/01/2015 19:45","I","FAF","121","23/01/2015","1","","","1","","2","JALAN KAYU","JALAN KAYU","2","2","1","1","9","33","2","2","5","86","74","0","1","0","N","Y","N","N","Y","N","N","N","","G/2015","14","NO DMG","I was driving along Jalan Kayu when a car (number unknown) in front suddenly jammed brakes. To avoid collision I also applied brakes. A few moments later a female passenger approached me and informed that she knocked her head against the pole. Shewas not bleeding. Upon reaching Yishun int. the lady enquired about the matter again and I advised her to seek medical treatment. The lady was awared that the front car jammed brake and it was not my fault. The lady was standing inside the bus whenit happened. She was a malay in her late 40s wearing an IKEA uniform. That s all.","(S)(Y) Pax injured on board","ON LEAVE 3 DAYS","13/02/2015","E04382015","sfalpr04","23/01/2015 10:18","sfalad02","13/02/2015 09:01",""
"201500390","02","SE","18/01/2015 19:00","C","NAF","212","23/01/2015","1","16/02/2015","212","1","","2","BEDOK SOUTH ROAD AFTER ECP","BEDOK SOUTH ROAD","1","1","1","1","8","33","3","2","5","70","75","0","0","0","N","Y","N","N","N","N","N","N","","","14","NO DMG","There was a pte bus (PC1261B) queueing at the traffic junction along Bedok South road. My bus stopped behind this pte bus. The pte bus driver did not pull hand brake. He was writing something. As a result  his bus rolled backward  and lightlytouched the my bus left view mirror. The driver expressed interest in pte settlement.  No injury. That s all.","(N)(N) Pte bus reversed and collided onto SBS bus","I worked PM shifts","","E04262015","sfalpr04","23/01/2015 10:20","sfalpr04","16/02/2015 12:13",""
"201500393","02","SW","22/01/2015 12:16","Q","NAF","102","23/01/2015","1","16/02/2015","202","1","","1","Sims Ave x Sims Way","Sims Ave","1","1","1","1","15","27","3","1","1","70","60","0","0","0","N","Y","N","N","N","N","N","N","","","14","SBS2825A - Rear right bumper, corner bumper & body damaged ( CLRG )","I was driving my bus at the 2nd right outer lane Sims Ave turning right dir to Sims Way. At the junct I then stopped my bus at the ped light & gave way to ped crossing few second when I heard sound bang came from the rear of my bus. I alighted tocheck & saw a black m/car SFA7333S had its front right portion collided into the rear right portion of my bus. WOCC informed exchange particulars & cont my svc twds BDI.","(N)(N) Car collided onto rear of bus","","","W04332015","sfalpr04","23/01/2015 10:24","sfalpr04","16/02/2015 15:37",""
"201500395","02","SW","19/01/2015 20:00","M","FAF","112","23/01/2015","1","12/02/2015","133","1","","3","Soon Lee Bus Park Level 4","At Svc 254 Parking lot","3","1","1","1","9","39","4","1","5","70","67","0","0","0","N","Y","N","N","N","N","N","N","","","23","SBS9467D - Rear Left no damaged ( BLRG )","On 190115 I arr at SLBP. Aft refueling & washing of my bus bus at level 1 I moved off heading twds level 4. At the driveway I was doing the 3 pt turn reversing to park at parking lot in doing so the rear left portion of my bus collided ontobehind bus SBS9403M parked unattended at the parking lot. I alighted to check. Bus SBS9403M left front v/m assy drop off. SL W/shop.","(M)(Y) : Bus collided onto unattended SBS 9403M while reversing.","","","W03952015","sfalio04","23/01/2015 13:57","sfalio04","12/02/2015 13:51",""
"201500396","02","SE","19/01/2015 17:55","C","NAF","299","23/01/2015","2","10/02/2015","299","1","","2","LOR. 1 TOA PAYOH BUS STOP NEAR TO PHILLI","LOR. 1 TOA PAYOH","2","2","1","1","9","42","4","2","5","86","74","0","1","0","N","Y","Y","N","Y","N","N","N","","F/2015","23","NO DMG","I was informed of a complaint against me on 20/01/2015 regarding an incident that  after I started to drive out of the bus stop near Phillips Singapore along Lor. 1 Toa Payoh the traffic light ahead turned amber and I stepped on the brakes. At thattime I did not hear anyone fell down or injured and no one approached me also. I wish to state that I was not aware of any injuries that happened while I was driving. That s all.","(M)(N) : CFMS case. Passenger fall onboard.","I was informed on 20/01/2015 about the CFMS","27/01/2015","E04362015","sfalio04","23/01/2015 13:59","sfalio04","10/02/2015 14:26",""
"201500397","02","SW","16/01/2015 06:23","I","FAF","122","23/01/2015","2","12/02/2015","133","1","","1","b24229 gul circle","gul circle","2","2","1","1","3","42","3","2","5","86","82","0","1","0","N","Y","Y","N","Y","N","N","N","","j/2015","23","sbs9623U - BLRG, no cctv","I was attending to pax act at B24229. Due to little lighting while closing the front door I did not notice a F/chinese wanting to board the bus at the last min resulting the door to hit her R/arm. As she could not speak in English I got a pax totranslate. She did not want AMB and she wanted to head to BLI. At BLI I informed ARM. ARM brought said F/pax to the office and I was told to cont svc. I was later informed that said F/pax was conveyed by AMB. That is all","(N)(Y) : Female passenger trapped by door.","","27/01/2015","W03522015","sfalio04","23/01/2015 14:08","sfalio04","12/02/2015 13:49",""
"201500398","02","SW","15/01/2015 17:54","I","FAF","118","23/01/2015","2","12/02/2015","118","1","","3","AYE x JR Town Hall Rd","AYE","1","1","1","1","6","27","1","1","1","91","73","0","0","0","N","Y","N","N","N","N","N","N","","","23","SBS7323Z - Left front v/m assy drop, bracket cracked ( BLRG )","I had stopped my bus behind m/vehs at the 1st left inner lane of AYE comply to traffic red junct with JR Town Hall Rd. When I saw green light appeared I then followed infront m/veh moved off & due to I had forgottened to check on my leftsideas a result when I was moving off the left front v/m of my bus grazed against the fencing beside the road kerb. I alighted to pick-up v/m & not to obstruct traffic coming from behind. I stopped at b/stop along Town hall Rd. WOCC informed to waitfor CRS transfer pax. Aft CRS attended to my bus I was told to RTD to SLBP.","(M)(Y) : Bus side swipe fencing.","Friday 160115, I need to attend my personal thing.","","W03382015","sfalio04","23/01/2015 14:14","sfalio04","12/02/2015 13:47",""
"201500399","02","SW","12/01/2015 07:00","C","NAF","222","23/01/2015","2","10/02/2015","222","1","","3","bstop rivervale Dr","rivervale dr","2","2","1","1","3","33","2","1","1","86","82","0","1","0","N","Y","Y","N","Y","N","N","N","","f/2015","23","sbs6445L - SKRG, cctv","I was clsoind the door aft ensuring all pax had boarded when suddenly a pax came from behind looking at his phone tried to board the bus from the front door. I did not see him and I had already pressed the close/open button for the front door.this caused the door to hit said pax. upon seeing this I reopen the front door and apologised. Said pax was unhappy and commented. Later another 02 pax boarded.","(N)(N) : Passenger trapped by door.","bc reported to Rg on 21/01","23/01/2015","W04172015","sfalio04","23/01/2015 14:17","sfalio04","10/02/2015 14:24",""
"201500403","02","SW","07/01/2015 21:55","Q","NAF","205","23/01/2015","2","12/02/2015","118","1","","2","Changi airport T3","changi airport","1","1","1","1","14","33","2","1","5","70","54","0","0","0","N","Y","Y","N","N","N","N","N","","","23","sbs6342A - rear right panel scratches, SKRG, cctv","I was entering Changi Airport T3 when suddenly a taxi came out from the side pillar and grazed my bus rear right causing scratches. No inj. Particualrs exchanged. I informed OCC. I wish to inform that I was travelling straight and said taxi came outform side of road grazing side of my bus.","(M)(N) : Bus involved in a side swipe accident with 3P taxi.","bc reported to Rg on 12/01. district rcvd report on 21/01","","W04122015","sfalio04","23/01/2015 16:53","sfalio04","12/02/2015 13:55",""
"201500404","02","SE","15/01/2015 11:00","C","NAF","499","23/01/2015","1","10/02/2015","221","1","","1","Left turn from Pasir Ris Dr 1","Pasir Ris Dr 1","2","1","1","1","9","27","2","3","1","86","61","0","0","0","N","Y","N","N","Y","N","N","N","","NP299","23","SBS8660T, No damaged","RM informed me that they received a complaint against me by a little female paxs father on 15/01/2015. I was informed by my RM that earlier today at 1100hrs While I was about to make a turn from Pasir Ris Dr 1/ 4. The father of the little paxclaimed that her head has hit onto the front seat handle. I wish to state that after I make the left turn from the said junc I heard a little girls cries. As such I stopped my bus to make a check on her in view of her father. There was novisible injury show on her. And later I resumed back to my driving. Thats all.","(M)(N) : CFMS case. Passenger injured onboard.","Was on duty","","E04222015","sfalio04","23/01/2015 16:57","sfalio04","10/02/2015 14:04",""
"201500414","02","SE","11/01/2015 15:30","M","NAF","299","26/01/2015","1","10/02/2015","299","1","","3","AMK BUS PARK PARKING LOT","AMK BUS PARK","3","1","1","1","13","39","4","1","5","70","58","0","0","0","N","Y","Y","N","N","N","N","N","","","23","FRONT DOOR SIDE GLASS SHATTERED","I parked my bus in AMK parking lot at 1230 hrs for split shit break. At 1530 hrs when I collected my bus found that the front door side glass shattered. Informed AS to take photo. No injury. That s all.","(N)(N) : BC noticed glass panel damaged when collecting bus.","","","E02152015","sfalio04","26/01/2015 09:03","sfalio04","10/02/2015 14:10",""
"201500418","02","SE","04/01/2015 01:15","M","FAF","120","26/01/2015","1","12/02/2015","120","1","","2","CHANGI BUS PARK","CHANGI BUS PARK","3","1","1","1","23","39","4","1","5","70","59","0","0","0","N","Y","Y","N","N","N","N","N","","","23","FRONT WINDSCREEN DMG","While stationary at the parking lot in Changi Bus park my bus door was opened. The bus rolled forward and hit the rear of another unattended bus (SBS9523A SVC : unknown). At that time I did not pulled hand brake and did not stepped on the legbrake. No injury. That s all.","(N)(Y) : Bus moved forward and collided onto rear portion of unattended SBS 9523A.","ON LEAVE,SPLIT SHIFT & MC 3 DAYS","","E03112015","sfalio04","26/01/2015 09:16","sfalio04","12/02/2015 13:45",""
"201500420","02","SW","11/01/2015 22:50","C","NAF","299","26/01/2015","2","12/02/2015","299","1","","2","Bt Timah Rd b/stop 40081","Bt Timah Rd","1","1","1","1","14","42","3","1","1","70","54","0","0","0","N","Y","N","N","N","N","N","N","","","23","SBS6700A - Right rear panel slight scratched, side indicator light damaged ( JERG )","I had stopped my bus at kerbside b/stop along Bt Timah Rd for paxs activities. When paxs activities still on when suddenly I felted jerking came from the rear of my bus. I checked my right front v/m & saw a SMRT taxi came from the rear of my bushad overtook to his right & left rear portion had grazed against the rear right portion of my bus. I alighted to check exchange particulars. I cont my svc.","(N)(N) : Bus involved in an accident with 3P taxi.","I cannot file TAC as I was working","","W03882015","sfalio04","26/01/2015 09:18","sfalio04","12/02/2015 13:43",""
"201500422","02","SW","12/01/2015 05:40","M","FAF","112","26/01/2015","2","12/02/2015","133","1","","1","HGD p/lot","HG depot","3","1","1","1","1","36","2","1","5","70","67","0","0","0","N","Y","Y","N","N","N","N","N","","","23","sbs5196L- rear LHS signal light assy, SKRG     sbs3105M,svc43,front LHS corner panel damaged","I was moving out from p/lot. It was quite dark at that time. I assumed I could reversed all the way like usual. I reversed and hit SBS3105M due to said bus front not parked according to the p/lot lines. No injuries.","(M)(Y) : Bus collided onto unattended SBS 3105M while reversing.","","","W03032015","sfalio04","26/01/2015 09:22","sfalio04","12/02/2015 13:58",""
"201500424","02","SE","15/01/2015 20:00","C","NAF","509","26/01/2015","1","12/02/2015","509","1","","3","AMK DEPOT WORKSHOP","AMK DEPOT","3","1","1","1","12","36","4","1","5","85","58","0","0","0","N","Y","Y","N","N","N","N","N","","","23","RIGHT SIDE WINDOW GLASS BROKEN","On 15/01/2015 at 1030 hrs  I drove the bus back to AMK Depot after my work trip. After I had parked the said bus I inspected the bus. I did not notice the window scattered glass. On 20/01/2015 my RM informed me about the damage on the bus. On23/01/2015 I was informed to make TAC report. That s all.","(N)(N) : Window glass panel shattered by itself.","I was informed to make TAC report on 23/01/2015","","E04462015","sfalio04","26/01/2015 09:24","sfalio04","12/02/2015 13:56",""
"201500427","02","SE","23/01/2015 11:15","Q","FAF","118","26/01/2015","2","12/02/2015","101","1","","3","before b/s 52069","Braddell Rd","1","1","1","1","10","20","2","3","6","70","52","0","0","0","N","Y","Y","N","N","N","N","N","","","23","SBS3228S, Front bumper damaged","I was driving off bus svc 157 along the said rd. While concerntrete to make a left turn along Braddell Rd when my bus involve head to rear accident with City Cab at above mentioned location while off-service to BRP. No one was injured.My bus sustained damaged on front portion and the taxi sustained damaged on rear portion. I was instructed by CRS to drive into BRP and awaited for CRS to attend my bus after exchanged particulars with taxis driver. Bus RTD. Thats alll","(M)(Y) : Bus involved in an accident with 3P taxi.","","","E04512015","sfalio04","26/01/2015 09:27","sfalio04","12/02/2015 14:02",""
"201500428","02","SW","20/01/2015 15:20","Q","NAF","218","26/01/2015","1","","","","","2","clementi rd T kent ridge crescent","clementi rd T kent ridge cresc","1","2","1","1","5","25","2","3","1","70","51","1","0","0","N","Y","Y","N","N","N","N","N","","","26","sbs2647Y - Ns front corner bumper dented, ent door glass broken, nearside front to center panel scratched, HCRG","I was on the extreme right lane of Clt rd twds Kent ridge Cres. Reaching said junctn the t/light filter arrow had appeared and I proceeded to make a right turn when suddenly a car SGE6805X dashed out from the opp direction into my path beating thered t/light. I cld not avoid. Resulting to said car front NS hit onto the NS front of my bus. I called OCC. The said car driver claimed his wife (passenger) was not well and requested AMB. No visible inj on said car passenger. She was conveyed to NUH","(M)(N) 3P car beat red light and collided onto right turning bus","","","W04142015","edbdam04","26/01/2015 09:28","sfalad02","13/02/2015 14:48",""
"201500429","02","SW","20/01/2015 01:25","M","FAF","118","26/01/2015","1","12/02/2015","118","1","","2","BBBP Bus Washing Bay","BBBP","3","1","1","2","21","46","4","1","5","91","73","0","0","0","N","Y","N","N","N","N","N","N","","","23","SBS8191E - Left front v/m drop ( CLRG )","On 200115 I arr at BBBP. I was driving my bus heading twds Bus washing bay. Along the driveway I was turning right into bus washing bay when I wanted to straighten my bus to enter into washing bay the left front v/m of my bus then hit againstagainst the leftside of washing brush. I straightened my bus & cont bus washing. Aft that I then reported to BB w/shop.","(M)(Y) : Bus collided onto washing brush.","","","W04452015","sfalio04","26/01/2015 09:29","sfalio04","12/02/2015 14:00",""
"201500451","02","SE","17/01/2015 23:12","C","NAF","499","27/01/2015","2","","","","","2","Opps Yuying Sec Sch b/stop","Hougang Ave 1","2","2","1","1","17","42","2","3","1","86","82","0","1","0","N","Y","N","N","Y","N","N","N","","NP299","21","SBS8538P, No damaged","On 20/01/2015 My Rm informed me that they had received a complain with myself as the involved driver happened on the 17/01/2015 @ abt 2312hrs along Hougang Ave 1. I do not have any recollection of what happened on that day as situation was normallike any other day. While I was traveling along Hougang everything was normal as well. Non of my pax had come forward to inform me about anything. I am lodging this report for record purpose. Thats all.","(M)(N): Pax alleged falling on board.","I do not have any recollection of what happened on that day as situation was normal like other day.","13/02/2015","E04292015","sfalio02","27/01/2015 08:08","sfalad02","13/02/2015 09:22",""
"201500466","02","SE","10/01/2015 17:51","C","NAF","699","27/01/2015","1","16/02/2015","599","1","","2","GEYLANG ROAD","GEYLANG ROAD","1","1","1","1","7","33","3","1","5","85","58","0","0","0","N","Y","Y","N","N","N","N","N","","","14","LEFT VIEW MIRROR DROPPED","I was driving along Geylang Road. I happened to view the left mirror when it dropped by itself. I was not involved in any accident on that day. The cause of the mirror dropped was unknown. No injury. That s all.","(N)(N) BC claimed mirror dropped due to unknown cause","I was informed by RM to make TAC report on 24/01/2015","","E05092015","sfalpr04","27/01/2015 14:19","sfalpr04","16/02/2015 16:12",""
"201500471","02","SW","18/01/2015 11:00","C","NAF","499","27/01/2015","1","","","1","","3","jln besar, aft bstop 12.7km","jalan besar","2","2","1","1","11","33","2","1","5","86","81","0","1","0","N","Y","Y","N","N","N","N","N","","","14","sbs3045C- HCRG, cctv","Aft pax act at said bstop I checked pax had tapped and walked in. I proceed on when suddenly I heard sound. I stopped and checked. A F/Chinese abt 60Y had fallen. she claimed she did not hold onto h/railing. She claimed she was not injured.I did not apply ebrake nor stepped on brake. I cont svc. No inj that is all","(N)(N) Pax fell on board","CFMS case. bc reported to Rg on 23/01","13/02/2015","W04952015","sfalpr04","27/01/2015 14:26","sfalad02","13/02/2015 09:23",""
"201500476","02","SW","22/01/2015 20:19","Q","NAF","118","27/01/2015","1","","","1","","2","Tiong Bahru Rd X Outram Road","Tiong Bahru Rd","1","2","1","1","11","27","3","1","1","70","54","0","1","0","N","Y","Y","N","Y","N","N","N","","T/2003","14","SBS8444B - Right rear mudguard dented ( CLRG )","I was driving my bus along Tiong Bahru Rd dir to Outram Rd. Along Tiong Bahru Rd I was at the 1st left lane heading to infront uncontrolled X-junct of Outram Rd. At said junct at 1st right outer lane was blocked & a m/car SGY8345M had swerved toleft & then stopped slanting I then stopped too. When I saw said car didn’t moved I then moved off slowly as the road was narrow when I was beside said car I checked again whether I still cont moving off it was ok so I cont moving off at thismoment I heard sound I alighted to check took photo at scene shortly a by-pass police patrol car arr. Nobody was injured. Police asked me to move away I then stopped aft yellow box junct & then stopped at the roadside later ambulance & TP arr.Aft Paramedics had attended to m/car’s pax f/Chinese she was not conve","(N)(N) Car collided onto bus","","13/02/2015","W04482015","sfalpr04","27/01/2015 14:35","sfalad02","13/02/2015 09:44",""
"201500493","02","SW","26/01/2015 19:00","C","NAF","399","28/01/2015","1","","","1","","2","Jurong West Ave 3 infront JR Police Stn","Jurong West Ave 3","2","2","1","1","12","33","3","3","5","86","74","0","1","0","N","Y","Y","N","Y","N","N","N","","J/2096","14","SBS3832Y - Interior last seat no damaged ( BLRG )","I was my bus along 1st left lane of JR West Ave 3 heading to infront t/light junct of Jln Bahar. When I was near to JR Police Stn suddenly I heard a boy was crying I looked at the interior v/m & saw a boy at the rear of the bus. I looked behind &the boy’s mother came to me & informed me her son arm had strucked in-bet the seat at the rear of my bus. I advised the boy’s mother not to move him as infront t/light had turned red I then stopped my at said junct. I went to check & saw the boy’sright elbow was stucked in-bet 4 seated which was facing back to back. I together with another pax tried to release his arm but could not WOCC informed. Later SCDF arr & they managedto free his right arm followed by amb arr. Aft the boy’s being attended to by Paramedic he was ok. & did not conveyed to hosp","(N)(N) Boy's arm stuck in between seat","","13/02/2015","W05242015","sfalpr04","28/01/2015 10:20","sfalad02","13/02/2015 09:54",""
"201500494","02","SW","23/12/2014 23:45","I","FAF","118","28/01/2015","2","28/01/2015","118","1","","2","HCI boarding berth 1","hg central interchange","3","1","1","1","21","37","4","1","5","70","59","0","0","0","N","Y","Y","N","N","N","N","N","","","25","sbs3086J- front w/screen cracked, OS front panel dmgd, HCRG     sbs9688H,svc89, rear engine cover damaged","Aft completion of duty I was going to conduct parade check. I was stopping behind SBS9688H. I fogot to pulled h/brake and left the driver seat. My bus moved forward and hit against the front bus causing damage to both buses.","SBS 3086J collided onto SBS 9688H.","previous report w/0057/2015 deleted. This is the same case w/ a diff report number.","","W05292015","sfalio05","28/01/2015 10:27","sfalad02","16/02/2015 13:42",""
"201500497","02","SW","24/01/2015 12:35","C","NAF","218","28/01/2015","1","10/02/2015","218","1","","1","Jurong Pier Road aft bus stop code 21299","Jurong Pier Road","1","1","1","1","13","33","3","2","2","70","60","0","0","0","N","Y","Y","N","N","N","N","N","","","26","Right rear bumper damaged, side engine cover & body panel damaged. (BLRG)  CCTV","After pax alighting at bus stop code 21299 I then exit from the bus stop. Due to the traffic light ahead turned to Red lights so I stopped my bus before the designated traffic light controlled for pedestrian crossing. While my bus was stationayall of sudden I heard sound at the right rear of my bus. I went down to checked and found a lorry container hit into my bus rear right rear side. The lorry driver namely Lim Lam Peng NRIC S7302415C H/P 92823732. The lorry sustained front left paneminor scratched. No injury reported. I report to WOCC.","(S)((N) 3P collided onto rear portion of bus","","","W04682015","edbdam04","28/01/2015 15:56","edbdam04","10/02/2015 10:07",""
"201500499","02","SE","07/01/2015 18:30","C","NAF","402","29/01/2015","1","16/02/2015","402","1","","2","VICTORIA STREET","VICTORIA STREET","2","2","1","1","7","33","2","1","5","86","81","0","1","0","N","Y","N","N","Y","N","N","N","","F/2015","23","NO DMG","On 26/01/2015 my RM informed me of CFMS. The incident happened on 07/01/2015 at about 1830 hrs. There was a female boarded my bus at the bus stop opposite Bugis Junction. I then drove off at about 40 km/hr when the traffic light ahead suddenlyturned red. The breaking force causes the female passenger in her 20s who was standing near the exit door was thrown towards the front of the bus and fell on her back. I checked with her and she declined medical attention. No visible injury on her.on her.","(M)(N) : Female passenger fall onboard.","INFORMED OF CFMS ON 26/01/2015","29/01/2015","E04882015","sfalio04","29/01/2015 08:18","sfalio04","16/02/2015 12:19",""
"201500500","02","SE","11/01/2015 12:50","C","NAF","221","29/01/2015","1","16/02/2015","221","1","","1","BETWEEN PARKWAY PARADE AND AMBER GARDENS","MARINE PARADE ROAD","2","2","1","1","17","33","1","2","5","86","61","0","1","0","N","Y","N","N","Y","N","N","N","","G20150","23","NO DMG","On 22/01/2015 I was informed of a complaint against me regarding an incident when I was travelling along Marine Parade Road a car (number unknown) suddenly cut into my lane. I e-brake. After that I checked the mirror and did not see any passengerfell down. I waited for a minute to see any passenger report any injury. However no one approached me. That s all.","(M)(N) : Female passenger fall onboard due to BC applied brake to avoid accident.","I was informed of the CFMs on 22/01/2015","11/02/2015","E04712015","sfalio04","29/01/2015 08:20","sfalio04","16/02/2015 12:18",""
